Full Team Name,Payroll,Year,Team,Relative Payroll
Atlanta Falcons,175728823,2014,Falcons,1.280923283
Cleveland Browns,156240488,2014,Browns,1.138868829
Baltimore Ravens,152294429,2014,Ravens,1.110105199
Arizona Cardinals,151750413,2014,Cardinals,1.106139755
Seattle Seahawks,151634452,2014,Seahawks,1.105294492
Washington Redskins,150631526,2014,Redskins,1.097983959
Tennessee Titans,147610258,2014,Titans,1.07596132
San Francisco 49ers,147441876,2014,49ers,1.074733949
New York Giants,147002888,2014,Giants,1.071534076
Miami Dolphins,144645040,2014,Dolphins,1.05434724
Philadelphia Eagles,144067521,2014,Eagles,1.050137586
Chicago Bears,142948391,2014,Bears,1.041980019
Oakland Raiders,141224715,2014,Raiders,1.029415793
Green Bay Packers,141193180,2014,Packers,1.029185928
Kansas City Chiefs,140715473,2014,Chiefs,1.025703824
Minnesota Vikings,139445997,2014,Vikings,1.016450354
Pittsburgh Steelers,138857568,2014,Steelers,1.012161175
Denver Broncos,137792194,2014,Broncos,1.004395446
St. Louis Rams,135892540,2014,Rams,0.99054848
Buffalo Bills,135589765,2014,Bills,0.988341491
New Orleans Saints,134470338,2014,Saints,0.980181759
San Diego Chargers,132803449,2014,Chargers,0.968031465
New England Patriots,132130517,2014,Patriots,0.963126326
Tampa Bay Buccaneers,131279968,2014,Buccaneers,0.956926501
Cincinnati Bengals,126606276,2014,Bengals,0.922859005
Detroit Lions,124902259,2014,Lions,0.910438077
Carolina Panthers,121701053,2014,Panthers,0.887103833
Indianapolis Colts,121343065,2014,Colts,0.884494385
Houston Texans,120561347,2014,Texans,0.878796283
Dallas Cowboys,107784533,2014,Cowboys,0.785663476
Jacksonville Jaguars,107678268,2014,Jaguars,0.784888889
New York Jets,106085353,2014,Jets,0.773277806
Buffalo Bills,209661356,2015,Bills,1.279173825
San Diego Chargers,209377835,2015,Chargers,1.277444023
Dallas Cowboys,186162905,2015,Cowboys,1.135806425
New England Patriots,184275179,2015,Patrios,1.12428914
Washington Redskins,180930200,2015,Redskins,1.103880946
Baltimore Ravens,176076029,2015,Ravens,1.074264957
New Orleans Saints,174058877,2015,Saints,1.061958025
New York Giants,172337696,2015,Giants,1.051456854
Miami Dolphins,171197463,2015,Dolphins,1.04450013
Seattle Seahawks,170750392,2015,Seahawks,1.041772486
New York Jets,168669495,2015,York Jets,1.029076637
Cleveland Browns,167817921,2015,Browns,1.023881062
Houston Texans,164492108,2015,Texans,1.003589803
Pittsburgh Steelers,164181399,2015,Steelers,1.001694123
Oakland Raiders,162380705,2015,Raiders,0.990707832
Chicago Bears,160305947,2015,Bears,0.978049438
Indianapolis Colts,160213156,2015,Colts,0.977483307
St. Louis Rams,159182707,2015,Rams,0.971196391
Carolina Panthers,158532706,2015,Panthers,0.967230642
Tennessee Titans,157837837,2015,Titans,0.962991147
Jacksonville Jaguars,157161119,2015,Jaguars,0.958862394
Philadelphia Eagles,155821444,2015,Eagles,0.950688846
Cincinnati Bengals,155010208,2015,Bengals,0.945739379
San Francisco 49ers,151336014,2015,49ers,0.923322598
Denver Broncos,150299086,2015,Broncos,0.916996152
Tampa Bay Buccaneers,150236239,2015,Buccaneers,0.916612714
Green Bay Packers,149832246,2015,Packers,0.914147895
Atlanta Falcons,147137872,2015,Falcons,0.897709135
Arizona Cardinals,146412548,2015,Cardinals,0.89328383
Minnesota Vikings,143600468,2015,Vikings,0.876126929
Kansas City Chiefs,142522344,2015,Chiefs,0.869549141
Detroit Lions,137107728,2015,Lions,0.836513796
Chicago Bears,221773830,2016,Bears,1.250994242
Philadelphia Eagles,219119435,2016,Eagles,1.236021182
New York Jets,215062503,2016,Jets,1.213136613
San Diego Chargers,213810003,2016,Chargers,1.20607144
Kansas City Chiefs,199292002,2016,Chiefs,1.124177487
Jacksonville Jaguars,197969573,2016,Jaguars,1.116717856
Arizona Cardinals,197594788,2016,Cardinals,1.114603747
Denver Broncos,196332541,2016,Broncos,1.107483594
Baltimore Ravens,190450208,2016,Ravens,1.0743022
Minnesota Vikings,188052014,2016,Vikings,1.060774333
New Orleans Saints,186310950,2016,Saints,1.050953242
Cincinnati Bengals,182829344,2016,Bengals,1.031314004
New York Giants,179692604,2016,Giants,1.013620105
Buffalo Bills,177757931,2016,Bills,1.002706893
Tampa Bay Buccaneers,175907466,2016,Buccaneers,0.992268687
Indianapolis Colts,174421005,2016,Colts,0.983883774
Miami Dolphins,173577015,2016,Dolphins,0.979122948
San Francisco 49ers,173459103,2016,49ers,0.978457824
Houston Texans,170689763,2016,Texans,0.962836375
Los Angeles Rams,168327210,2016,Rams,0.949509554
Dallas Cowboys,167375404,2016,Cowboys,0.944140554
Oakland Raiders,166938623,2016,Raiders,0.941676735
Washington Redskins,165623719,2016,Redskins,0.934259551
Pittsburgh Steelers,161920073,2016,Steelers,0.913367817
Detroit Lions,159849089,2016,Lions,0.901685694
Atlanta Falcons,158807063,2016,Falcons,0.895807776
Carolina Panthers,156217002,2016,Panthers,0.881197615
Green Bay Packers,155933371,2016,Packers,0.879597693
Seattle Seahawks,155743648,2016,Seahawks,0.878527493
Tennessee Titans,153260804,2016,Titans,0.864522127
New England Patriots,146033699,2016,Patriots,0.823755069
Cleveland Browns,122766079,2016,Browns,0.692505775
Miami Dolphins,231770498,2017,Dolphins,1.192952159
Washington Redskins,230631363,2017,Redskins,1.187088886
Green Bay Packers,222796823,2017,Packers,1.146763515
Cleveland Browns,221112451,2017,Browns,1.138093839
Detroit Lions,220620066,2017,Lions,1.13555947
Carolina Panthers,218064031,2017,Panthers,1.122403234
Seattle Seahawks,216901858,2017,Seahawks,1.116421382
Arizona Cardinals,212964050,2017,Cardinals,1.096152985
New York Giants,211012494,2017,Giants,1.086108078
Chicago Bears,210944661,2017,Bears,1.085758933
New England Patriots,209562024,2017,Patriots,1.078642325
San Francisco 49ers,205541576,2017,49ers,1.057948569
Indianapolis Colts,205521283,2017,Colts,1.057844119
Denver Broncos,200685969,2017,Broncos,1.032956144
Philadelphia Eagles,196810120,2017,Eagles,1.013006658
Cincinnati Bengals,195578230,2017,Bengals,1.006665963
Oakland Raiders,192276664,2017,Raiders,0.989672384
New Orleans Saints,189687444,2017,Saints,0.976345341
Jacksonville Jaguars,189360468,2017,Jaguars,0.974662354
Atlanta Falcons,186291948,2017,Falcons,0.958868292
Houston Texans,183642941,2017,Texans,0.945233517
Kansas City Chiefs,179054899,2017,Chiefs,0.921618282
Tampa Bay Buccaneers,176645594,2017,Buccaneers,0.909217284
Minnesota Vikings,174662841,2017,Vikings,0.899011803
Los Angeles Chargers,171617106,2017,Chargers,0.883335018
Tennessee Titans,170813863,2017,Titans,0.879200625
Baltimore Ravens,170571846,2017,Ravens,0.877954932
Pittsburgh Steelers,166351849,2017,Steelers,0.856234072
Buffalo Bills,166302828,2017,Bills,0.855981755
New York Jets,164750649,2017,Jets,0.847992493
Los Angeles Rams,162386071,2017,Rams,0.83582171
Dallas Cowboys,162126153,2017,Cowboys,0.834483879
San Francisco 49ers,288613249,2018,49ers,1.376348369
Jacksonville Jaguars,271113920,2018,Jaguars,1.292896993
Washington Redskins,267279409,2018,Redskins,1.27461085
Chicago Bears,248638079,2018,Bears,1.185713462
Cincinnati Bengals,239710820,2018,Bengals,1.143140855
Carolina Panthers,237651288,2018,Panthers,1.133319291
Green Bay Packers,233701644,2018,Packers,1.114484098
Tennessee Titans,233425200,2018,Titans,1.113165783
Los Angeles Rams,230529648,2018,Rams,1.099357379
Minnesota Vikings,226304818,2018,Vikings,1.079209871
Denver Broncos,226250245,2018,Broncos,1.078949621
New York Jets,221665352,2018,Jets,1.057085033
Cleveland Browns,218417696,2018,Browns,1.041597504
Oakland Raiders,217859327,2018,Raiders,1.038934735
Atlanta Falcons,211430716,2018,Falcons,1.008277763
Tampa Bay Buccaneers,208754008,2018,Buccaneers,0.99551299
Arizona Cardinals,204548240,2018,Cardinals,0.975456385
