TeamYear,Active Players,Forward Cap,Defense Cap,GoalTender Cap,Est. Total Cap,Cap Space,RelTotPay,Year
Oilers2018,22,40298800,24555639,2941996,81360113,-1860113,108.6425505,2018
Capitals2018,23,49018461,23192244,6750000,81165121,-1747621,108.382172,2018
Sharks2018,24,38915073,30545000,7650000,80232242,-732242,107.1364712,2018
Blues2018,22,37562131,22933789,4737945,80017106,-668094,106.8491938,2018
Penguins2018,25,39189971,23450671,4425000,78650062,849938,105.0237398,2018
Flames2018,24,43816038,22485628,5050000,78387686,1112314,104.6733814,2018
Kings2018,24,40345029,20225760,6475000,78198410,1301590,104.4206356,2018
Lightning2018,23,44725042,25216107,4650000,78144050,1213003,104.3480471,2018
Golden Knights2018,23,34923283,18875000,6400000,77875306,771847,103.9891853,2018
Panthers2018,24,33770533,23200255,8093315,76896859,2603141,102.6826363,2018
Sabres2018,21,38100000,16895261,3500000,76651635,2848365,102.3551814,2018
Maple Leafs2018,23,41287700,20471110,5675000,76247370,702630,101.8153545,2018
Ducks2018,24,41702354,17616839,4300000,76204732,3295268,101.7584187,2018
Bruins2018,23,33920890,19255833,9750000,75747690,2978310,101.1481171,2018
Wild2018,21,23954516,20374333,4983333,75741692,3733308,101.1401078,2018
Predators2018,23,39723571,21850000,8500000,75734764,3765236,101.1308567,2018
Jets2018,25,36450752,21345474,6816666,75725752,3774248,101.1188227,2018
Blue Jackets2018,25,43532938,15281185,8600600,75662202,3837798,101.0339625,2018
Red Wings2018,22,33890313,20767996,8445447,75197740,3547260,100.4137527,2018
Rangers2018,23,25249703,24438333,9187208,74796479,4703521,99.87793711,2018
Blackhawks2018,22,40201315,19101064,3457986,73947684,4319816,98.74451619,2018
Stars2018,24,46851791,11408090,7416667,73878275,5621725,98.65183232,2018
Coyotes2018,23,23269136,18950000,2353217,73531547,5968453,98.18883623,2018
Canucks2018,26,27947811,12805149,4553094,72707555,6792445,97.08853549,2018
Canadiens2018,25,33483476,16999141,11450000,72248227,7251773,96.47518131,2018
Flyers2018,22,35128467,16648507,3870130,71100471,8399529,94.94254898,2018
Senators2018,23,24774249,9055397,6026895,69761304,9738696,93.15431992,2018
Islanders2018,25,43034840,21091891,4833333,69495640,10004360,92.79957097,2018
Avalanche2018,27,33240377,23119188,9233333,69299476,10200524,92.53762741,2018
Devils2018,25,22509611,17533905,6000000,64734963,14765037,86.44249903,2018
Hurricanes2018,22,24172093,26934729,2350000,62182416,17317584,83.03400799,2018
Lightning2017,27,42042607,28231667,5575000,78018887,-3018887,110.537955,2017
Capitals2017,28,46181364,23108518,7617475,77332485,-2382485,109.5654537,2017
Devils2017,34,35960276,22346625,10000000,75442295,-442295,106.8874132,2017
Wild2017,28,45021105,16814489,4990859,75336765,-336765,106.7378972,2017
Bruins2017,23,42598975,16939166,8238445,75204391,-204391,106.5503484,2017
Golden Knights2017,28,34927660,11424326,7016480,75041028,-41028,106.318894,2017
Flyers2017,25,48196651,17267855,7250000,74933174,-995674,106.1660854,2017
Blue Jackets2017,27,39093576,21833389,7516941,74758383,241617,105.9184397,2017
Stars2017,21,38318376,17381646,10816667,74724071,275929,105.8698261,2017
Jets2017,30,34611161,29831195,6555998,74719851,280149,105.8638472,2017
Ducks2017,24,43957238,13197763,4300000,74719809,280191,105.8637877,2017
Penguins2017,23,44166343,24400797,4076610,74369360,580640,105.3672679,2017
Sharks2017,24,37292065,24417110,3625000,73969118,795382,104.800201,2017
Kings2017,26,41113984,23071547,5964650,73859315,1140685,104.644631,2017
Islanders2017,23,36590461,19869053,4500000,73381934,1618066,103.9682727,2017
Flames2017,24,39578956,25769643,4250000,73173773,1166227,103.6733481,2017
Predators2017,25,36765859,24144875,7696048,72340995,2659005,102.4934597,2017
Canucks2017,23,36655050,17725000,6166666,71246295,3753705,100.9424776,2017
